id,concept_name,ts_code,name
TS4,高价股,300751.SZ,迈为股份
TS4,高价股,300760.SZ,迈瑞医疗
TS4,高价股,300776.SZ,帝尔激光
TS4,高价股,600436.SH,片仔癀
TS4,高价股,600519.SH,贵州茅台
TS4,高价股,603160.SH,汇顶科技
TS4,高价股,603288.SH,海天味业
TS4,高价股,603444.SH,吉比特
TS4,高价股,603833.SH,欧派家居
TS5,烧碱,000422.SZ,ST宜化
TS5,烧碱,000510.SZ,金路集团
TS5,烧碱,000635.SZ,英力特
TS5,烧碱,000698.SZ,沈阳化工
TS5,烧碱,000818.SZ,航锦科技
TS5,烧碱,000830.SZ,鲁西化工
TS5,烧碱,002092.SZ,中泰化学
TS5,烧碱,002386.SZ,天原集团
TS5,烧碱,002748.SZ,世龙实业
TS5,烧碱,600075.SH,新疆天业
TS5,烧碱,600141.SH,兴发集团
TS5,烧碱,600160.SH,巨化股份
TS5,烧碱,600273.SH,嘉化能源
TS5,烧碱,600277.SH,亿利洁能
TS5,烧碱,600295.SH,鄂尔多斯
TS5,烧碱,600301.SH,ST南化
TS5,烧碱,600319.SH,亚星化学
TS5,烧碱,600328.SH,兰太实业
TS5,烧碱,600389.SH,江山股份
TS5,烧碱,600409.SH,三友化工
TS5,烧碱,600618.SH,氯碱化工
TS5,烧碱,601216.SH,君正集团
TS5,烧碱,601678.SH,滨化股份
TS6,AH溢价股,600585.SH,海螺水泥
TS7,保险,000627.SZ,天茂集团
TS7,保险,600291.SH,西水股份
TS7,保险,601318.SH,中国平安
TS7,保险,601319.SH,中国人保
TS7,保险,601336.SH,新华保险
TS7,保险,601601.SH,中国太保
TS7,保险,601628.SH,中国人寿
TS8,PVC,000422.SZ,ST宜化
TS8,PVC,000510.SZ,金路集团
TS8,PVC,000635.SZ,英力特
TS8,PVC,000792.SZ,*ST盐湖
TS8,PVC,002002.SZ,鸿达兴业
TS8,PVC,002092.SZ,中泰化学
TS8,PVC,002386.SZ,天原集团
TS8,PVC,600075.SH,新疆天业
TS8,PVC,600277.SH,亿利洁能
TS8,PVC,600295.SH,鄂尔多斯
TS8,PVC,600328.SH,兰太实业
TS8,PVC,600409.SH,三友化工
TS8,PVC,601216.SH,君正集团
TS9,啤酒,000729.SZ,燕京啤酒
TS9,啤酒,000752.SZ,*ST西发
TS9,啤酒,000929.SZ,兰州黄河
TS9,啤酒,002461.SZ,珠江啤酒
TS9,啤酒,600132.SH,重庆啤酒
TS9,啤酒,600573.SH,惠泉啤酒
TS9,啤酒,600600.SH,青岛啤酒
TS9,啤酒,603076.SH,乐惠国际
TS10,火电,000027.SZ,深圳能源
TS10,火电,000037.SZ,深南电A
TS10,火电,000301.SZ,东方盛虹
TS10,火电,000531.SZ,穗恒运A
